Timestamp,Name,Issue,Description
03/04/21 10:46 AM,Smith 01,Brakes,my brakes make a noise whenever I try to stop
03/04/21 10:46 AM,Smith 02,Starter,Car starts then stops
03/04/21 10:47 AM,Smith 03,Door,I can't open the damn door to my car
03/04/21 10:47 AM,Smith 04,Starter,I turn the key and nothing happens
03/04/21 10:58 AM,Smith 05,Starter,Car doesn't start
03/04/21 10:59 AM,Smith 06,Starter,My car makes a weird whirring sound every time I start it
03/04/21 10:59 AM,Smith 07,Brakes,Car doesn't stop in timely manner
03/04/21 11:02 AM,Smith 08,Brakes,Car makes grinding noise
03/04/21 11:03 AM,Smith 09,Starter,I can hear the starter firing but the car doesnt start.
03/04/21 11:04 AM,Smith 10,Starter,Car does not start. It makes a sputtering noise and does not turn over
03/04/21 11:04 AM,Smith 11,Brakes,Car makes a lot noise and doesn't fully stop when we hit the break. 
03/04/21 11:05 AM,Smith 12,AC,"A/C is working, but is not blowing out cold air"
03/04/21 11:05 AM,Smith 13,Indicator Light,There is a light that came on that looks to be something related to the air bag or seat belt.  The seat belt itself on the passenger front side is having issues and does not feel secure.
03/04/21 11:06 AM,Smith 14,Brakes,It seems like I have to press the brakes a bit harder than I normally would.  Maybe the brakes are worn down and need to be replaced.
03/04/21 11:07 AM,Smith 15,Wheel Alignment,My car drifts when driving it and my tires seem to be wearing down at different rates.  I think my alignment is bad.
03/04/21 11:07 AM,Smith 16,Starter,I tried starting my car but it doesn't work.  It sputters for a while and never turns over.
03/04/21 11:08 AM,Smith 17,Starter,"I came out from work at the end of the day and the car would not start. I have a keyless start system and when I step on the brake and pushed the button, the lights would come one and the car would make a click click clicking sound but would not start. I'm not sure if it is the battery since the lights and radio worked but it definitely was not starting. Just that odd clicking noise...."
03/04/21 11:10 AM,Smith 18,Brakes,"It was really cold out and I could not get the emergency brake to disengage. When I tried to drive, the car made horrible grinding noises. "
03/04/21 11:12 AM,Smith 19,AC,My air conditioning doesn't seem to be working. I have the button pushed in and the light comes on and the fan is running full blast. But the car does not ever cool down and the air coming out of the vents doesn't feel any colder than the outside air.
03/04/21 11:14 AM,Smith 20,Steering Wheel,Steering wheel shakes when running at speed
03/04/21 11:18 AM,Smith 21,Battery,The battery is getting old so my range is a bit short these days.
03/04/21 11:25 AM,Smith 22,Brakes,It's not actually a grinding noise. It's rather a periodic deep sound when breaking.  
03/04/21 11:34 AM,Smith 23,Brakes,"When it rains, the car slides under braking and specially slips when driving over painted lines on the road"
03/04/21 11:36 AM,Smith 24,Brakes,"My cars breaks make noises and also take more time to stop. With that, highway driving is very dangerous"
03/04/21 11:37 AM,Smith 25,Brakes,Car makes grinding noise
03/04/21 11:38 AM,Smith 26,Starter,Car doesn't start
03/04/21 11:40 AM,Smith 27,Brakes,"When coming to a stop at a stop light, I press on the brake and the car comes to a complete stop, but then starts rolling again even if I keep my foot firmly pressing down on the brake pedal. "
03/04/21 11:41 AM,Smith 28,AC,AC doesn't work
03/04/21 11:42 AM,Smith 29,AC,"The HVAC system is broken in the car. t only has two modes -- full blast heat or full blast cooling. If I try to set it at anything other than MAX COOL, it defaults to full blast heat even if the control says, eg. 68F"
03/04/21 11:44 AM,Smith 30,Starter,"When I try to start the car, it spits and sputters for a very long time before finally engaging and actually turning on."
03/04/21 11:47 AM,Smith 31,Brakes,Customer states breaks make a terrible sound when stopping. 
03/04/21 11:48 AM,Smith 32,Steering Wheel,The steering wheel shakes uncontrollably when I accelerate above 60 mph. It's an intense upper body workout to stay in one lane on the freeway.
03/04/21 11:49 AM,Smith 33,Brakes,"Not so much a grinding noise, more like a piercing shriek of anguish"
03/04/21 11:51 AM,Smith 34,Starter,"Sometimes the car doesn't start and it seems like the battery is dead, but I have replaced the battery three times over the past year, so I think maybe either I'm buying defective batteries or something about the car is wrecking perfectly good batteries that should be lasting years."
03/04/21 11:53 AM,Smith 35,Brakes,"I press down on the brake pedal all the way to the floor, and the car does slow, but it takes a long time to come to a complete stop."
03/04/21 12:02 PM,Smith 36,Other,"Blind Spot Monitoring system will randomly be disabled. 
The oil change light comes on after an oil  change has been performed.
I think my car is talking to me through the radio and asking me if I know where the All Spark is hidden"
03/04/21 12:05 PM,Smith 37,Other,I have a problem with my blinker fluid.
03/04/21 12:09 PM,Smith 38,Other,The windshield has a growing crack in it.
03/04/21 12:11 PM,Smith 39,Brakes,The rotors are warped so it's difficult to push the break pedal without lurching.
03/04/21 12:11 PM,Smith 40,Other,The car pulls to the left.
03/04/21 12:19 PM,Smith 41,Starter,I turn the key and hear funny sounds but nothing happens.  Cannot get the car to turn over.  Please help ASAP!
03/04/21 12:19 PM,Smith 42,Other,I'm hearing a noise and feeling a vibration when I turn the wheel. 
03/04/21 12:20 PM,Smith 43,Other,"Brake pedal engagement varies, sometimes hard sometimes soft"
03/04/21 12:20 PM,Smith 44,Other,There is a lag when I push the gas peddle. There isn't an immediate response. 
03/04/21 12:21 PM,Smith 45,Brakes,It is more squealing or screeching sounds than grinding.  Plus it seems it takes more force to stop and sometimes very bumpy.
03/04/21 12:21 PM,Smith 46,Starter,"Starter makes clicking noise, won't start the engine unless you hit the starter with a hammer."
03/04/21 12:21 PM,Smith 47,Brakes,The car make some screeching or grinding noises when stopping. It is very unpleasant.
03/04/21 12:30 PM,Smith 48,Brakes,Brakes might be getting old because car doesn't seem to stop as quickly as it used to
03/04/21 12:41 PM,Smith 49,Brakes,My car sounds like its 20 years old when I push hard on the brakes. Squealing sound
03/04/21 12:41 PM,Smith 50,Starter,Car creates whistle sound each time I try to start it.
03/04/21 12:42 PM,Smith 51,Starter,Have to cycle the ignition three times before the car starts on the the fourth time.
03/04/21 12:51 PM,Smith 52,Brakes,Car makes a squeeky noise when stopping.
03/04/21 12:51 PM,Smith 53,Other,windshield wipers 
03/04/21 12:52 PM,Smith 54,Starter,It makes a grinding sound for a few seconds and then nothing happens. 
03/04/21 12:52 PM,Smith 55,Starter,Car doesn't start
03/04/21 12:53 PM,Smith 56,Starter,Car dies when I stop at a light or stop sign and then won't start again.
03/04/21 12:54 PM,Smith 57,Other,"When I put the car in reverse, the hatchback latch opens so that the backup camera can engage. That's all good. But sometimes, the latch stays permanently opened while I'm driving and when I stop and park, I cannot open the hatchback due to the latch being stuck in the open position (but not engaged)."
03/04/21 12:55 PM,Smith 58,Other,"I'm having an issue with fuel injection sensor or pressure. The warning indicator light is on, which means I need to have the car evaluated. "
03/04/21 12:56 PM,Smith 59,Brakes,The brake squeak and any time the slightest pressure is applied to the brake pedal
03/04/21 12:57 PM,Smith 60,Other,My air conditioning is whistling whenever it's turned on low.
03/04/21 12:58 PM,Smith 61,Other,The paint on the left door is scratched.
03/04/21 12:59 PM,Smith 62,Other," Leak of a clear, cloudy, oil like substance in the back of the car."
03/04/21 01:00 PM,Smith 63,Other,Front right corner is dented from a collision.
03/04/21 01:01 PM,Smith 64,Other,"When turning, the car is making a clicking noise."
03/04/21 01:03 PM,Smith 65,Other,Rear right tail light is out.
03/04/21 01:03 PM,Smith 66,Other,Exhaust has a lot of black smoke and acrid smell.
03/04/21 01:04 PM,Smith 67,Other,Fuel economy has gotten very bad.
03/04/21 01:04 PM,Smith 68,Starter,It won't start and doesn't respond when trying to jump start it.
03/04/21 01:07 PM,Smith 69,Brakes,While driving I hear lot of noises coming from the brakes of my car. 
03/04/21 01:19 PM,Smith 70,Other,Dashboard computer reboots when traveling above 80mph
03/04/21 01:28 PM,Smith 71,Brakes,"The pedal feels squishy. It stops if I push it really far, but I have to stretch my leg to do it. If I pump the brake it works better."
03/04/21 01:28 PM,Smith 72,Other,It makes clunking noises when I go over a bump.
03/04/21 01:29 PM,Smith 73,Starter,"It takes a long time to start, and if I push the key in it makes a grinding noise too."
03/04/21 01:38 PM,Smith 74,Other,"When I'm taking a left turn, the steering wheel shudders and I hear a grinding noise coming from somewhere in the front."
03/04/21 01:58 PM,Smith 75,Brakes,"Sometimes when I brake, after a few seconds, the brakes disengage. Then I have to brake again. That's really distrubing and dangerous! You must act immediately!"
03/04/21 02:18 PM,Smith 76,Other,Shuttering when accelerating 
03/04/21 02:19 PM,Smith 77,Brakes,Car makes grinding noise
03/04/21 02:46 PM,Smith 78,Other,I hear a rattling noise when i drive it above 60 mph
03/04/21 03:01 PM,Smith 79,Other,"My car keeps reporting that my driver's side front tire has no tire pressure, but when I manually check it, it is fine. This must be a sensor issue on this tire, but I'm not sure. The other 3 tires report normally. The main issue with this is the driver information panel will pop-up and override anything I'm displaying like vehicle speed with the tire pressure (incorrect) reading and warning about low tire pressure. It then takes several clicks on the menu to return to my previous display which is very unsafe."
03/04/21 03:05 PM,Smith 80,Other,"I was working on the fuel line, and apparently it came loose while driving. My car is now a pile of ashes."
03/04/21 03:08 PM,Smith 81,Other,My car is behaving very weird.
03/04/21 05:15 PM,Smith 82,Starter,"When I turn the key in the ignition, I just get a clicking sound - maybe a dead battery?"
03/04/21 06:05 PM,Smith 83,Other,The left rear window only rolls down but does not roll back up.
03/05/21 12:25 AM,Smith 84,Other,"To much technology, and that is ieven getting worse from model to newer model. Usefulness is vanishing..."
03/05/21 12:27 AM,Smith 85,Starter,"Where's the place, where I need to insert my key to start the ignition? I can't drive that way, always these bullshitty new technologies..."
03/05/21 12:29 AM,Smith 86,Brakes,Car doesn't stop in timely manner
03/05/21 01:24 AM,Smith 87,Other,I have some noise when I open my rear trunk
03/05/21 01:24 AM,Smith 88,Other,"When I drive, I feel like the car is leaning on left"
03/05/21 06:40 AM,Smith 89,Starter,I have to press the ignition button at least twice before my car starts. 
03/05/21 08:04 AM,Smith 90,Other,the flux capacitor is misfiring and I can't get up to 88 MPH 
03/05/21 08:54 AM,Smith 91,Other,"the privacy glass between my driver and my seating area doesn't work well.  sometimes, it won't go up at all!"
03/05/21 11:10 AM,Smith 92,Other,"The gas door won't open.  I can't put gas in my car if the door won't open, and I'm all out of gas."
03/05/21 11:13 AM,Smith 93,Other,"The car won't turn on, but it won't turn off either.  I'm on the side of the road, the lights, radio, electronic door locks, etc are all working fine, but the car won't shift out of park.  When I hit the start button to turn everything off, everything stays on.  It won't go, but it kind of won't stop either."
03/05/21 11:15 AM,Smith 94,Other,"The car won't start!   I don't know what more you want from me, I get into the car, turn the key, nothing happens.  If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!"
03/05/21 11:17 AM,Smith 95,Other,"There a loud knocking sound coming from the front of the car.  Everything seems to be working ok, but that sound wasn't there when I bought the car.  It's really bad at lower speeds, but generally tolerable at or above 80."
03/05/21 11:18 AM,Smith 96,Other,My tire keeps going flat.  That is all
03/05/21 11:19 AM,Smith 97,Other,The air conditioner only blows cold sometimes.
03/05/21 11:20 AM,Smith 98,Other,The car is very slow to get moving and there's a horrible grinding noise as I drive.
03/05/21 11:22 AM,Smith 99,Other,"My battery keeps dying.  This is the third one, and I don't get it.  I turn the radio and a/c off, trying to use as little power as possible, and the batteries just keep dying after about a week.  Aaarrrggghhh!!!!"
03/05/21 11:22 AM,Smith 100,Other,My window won't roll up.
03/05/21 11:23 AM,Smith 101,Other,My back seat seatbelt won't lock.
03/05/21 11:23 AM,Smith 102,Other,There's slack in my steering wheel.
03/05/21 11:28 AM,Smith 103,Starter,My car does not turn over. 
03/05/21 11:28 AM,Smith 104,Brakes,Car doesn't stop in timely manner
03/05/21 11:29 AM,Smith 105,Brakes,"Car brakes, but then brakes disengage"
03/05/21 11:29 AM,Smith 106,Other,my lights do not work
03/05/21 02:43 PM,Smith 107,Starter,"I try to start the engine only to find that the dashboard lights up, but the engine doesnâ€™t power up"
03/08/21 08:00 AM,Smith 108,Other,"The driver side window auto function does not work, you pull the window up, it goes all the way up and then down. "
03/08/21 08:39 AM,Smith 109,Brakes,"Sometimes when I press the brake, the car doesn't respond immediately. This generally does not happen at very high speeds, but rather at speeds of around 30-40 mph."
03/08/21 01:46 PM,Smith 110,Other,front drive shaft bad cv joint 
